timestamp,GHI_PHY,TEMPERATURE,PRESSURE,CLDFRAC,CLRNIDX,WIND_SPEED,HUMIDITY,SAZIM,SZA,ISCLEAR,GHICLEAR,DNI,DHI
2022-10-21 00:00:00+00:00,0.0,19.26416206359864,88522.921875,0.0,0.0,0.0,29.9421501159668,351.481526389952,159.35533243177065,0.0,0.0,0.0,0.0
2022-10-21 00:05:00+00:00,0.0,19.21212577819824,88523.1484375,0.0,0.0,0.0,30.00615882873535,354.9584601074188,159.48303005240928,0.0,0.0,0.0,0.0
2022-10-21 00:10:00+00:00,0.0,19.15738677978516,88519.2265625,0.0,0.0,0.0,30.0629940032959,358.4652759330452,159.54570991773863,0.0,0.0,0.0,0.0
2022-10-21 00:15:00+00:00,0.0,19.104717254638672,88518.4765625,0.0,0.0,0.0,30.10641098022461,1.9815448285914383,159.54277180680998,0.0,0.0,0.0,0.0
2022-10-21 00:20:00+00:00,0.0,19.051149368286133,88517.390625,0.0,0.0,0.0,30.14876747131348,5.486479153713844,159.4742454698619,0.0,0.0,0.0,0.0
2022-10-21 00:25:00+00:00,0.0,18.99071502685547,88515.0,0.0,0.0,0.0,30.2069091796875,8.959721942717692,159.3407892445241,0.0,0.0,0.0,0.0
2022-10-21 00:30:00+00:00,0.0,18.92201805114746,88513.875,0.0,0.0,0.0,30.286535263061523,12.382103244466748,159.143659162877,0.0,0.0,0.0,0.0
2022-10-21 00:35:00+00:00,0.0,18.84351921081543,88512.4140625,0.0,0.0,0.0,30.391820907592773,15.736281262619856,158.884652141642,0.0,0.0,0.0,0.0
2022-10-21 00:40:00+00:00,0.0,18.756345748901367,88510.34375,0.0,0.0,0.0,30.523983001708984,19.007233571795723,158.56602851838002,0.0,0.0,0.0,0.0
2022-10-21 00:45:00+00:00,0.0,18.66526222229004,88510.7578125,0.0,0.0,0.0,30.67763328552246,22.182558252968303,158.19042210288796,0.0,0.0,0.0,0.0
2022-10-21 00:50:00+00:00,0.0,18.57057380676269,88509.640625,0.0,0.0,0.0,30.8488826751709,25.252598112341275,157.76074435704305,0.0,0.0,0.0,0.0
2022-10-21 00:55:00+00:00,0.0,18.47637367248535,88508.6640625,0.0,0.0,0.0,31.02562522888184,28.21039666246986,157.28009057867024,0.0,0.0,0.0,0.0
2022-10-21 01:00:00+00:00,0.0,18.388566970825195,88508.3984375,0.0,0.0,0.0,31.19267845153809,31.051524036367937,156.75165335730838,0.0,0.0,0.0,0.0
2022-10-21 01:05:00+00:00,0.0,18.30686378479004,88506.5,0.0,0.0,0.0,31.340211868286133,33.77381570984801,156.17864623489385,0.0,0.0,0.0,0.0
2022-10-21 01:10:00+00:00,0.0,18.231491088867188,88505.8671875,0.0,0.0,0.0,31.46565055847168,36.377052948931976,155.56424129864263,0.0,0.0,0.0,0.0
2022-10-21 01:15:00+00:00,0.0,18.161352157592773,88504.6171875,0.0,0.0,0.0,31.574447631835938,38.86263001877808,154.91151900682837,0.0,0.0,0.0,0.0
2022-10-21 01:20:00+00:00,0.0,18.095848083496094,88503.4453125,0.0,0.0,0.0,31.67269897460937,41.23322221118042,154.2234320839679,0.0,0.0,0.0,0.0
2022-10-21 01:25:00+00:00,0.0,18.03409576416016,88502.1796875,0.0,0.0,0.0,31.761075973510746,43.49248360099512,153.50277952210507,0.0,0.0,0.0,0.0
2022-10-21 01:30:00+00:00,0.0,17.971229553222656,88501.046875,0.0,0.0,0.0,31.84792709350586,45.64477436428092,152.75219176259154,0.0,0.0,0.0,0.0
2022-10-21 01:35:00+00:00,0.0,17.90637969970703,88499.4453125,0.0,0.0,0.0,31.935935974121094,47.69493227165697,151.97412239529567,0.0,0.0,0.0,0.0
2022-10-21 01:40:00+00:00,0.0,17.837007522583008,88498.078125,0.0,0.0,0.0,32.031761169433594,49.64808098303524,151.17084696397575,0.0,0.0,0.0,0.0
2022-10-21 01:45:00+00:00,0.0,17.761465072631836,88496.84375,0.0,0.0,0.0,32.14347076416016,51.50947619579296,150.3444664366363,0.0,0.0,0.0,0.0
2022-10-21 01:50:00+00:00,0.0,17.678802490234375,88495.21875,0.0,0.0,0.0,32.27936935424805,53.28438800814644,149.49691283861875,0.0,0.0,0.0,0.0
2022-10-21 01:55:00+00:00,0.0,17.592409133911133,88494.3359375,0.0,0.0,0.0,32.445899963378906,54.97800853443414,148.62995870855252,0.0,0.0,0.0,0.0
2022-10-21 02:00:00+00:00,0.0,17.50537109375,88492.78125,0.0,0.0,0.0,32.65045166015625,56.5953877406119,147.74522607885802,0.0,0.0,0.0,0.0
2022-10-21 02:05:00+00:00,0.0,17.41473388671875,88491.6484375,0.0,0.0,0.0,32.906795501708984,58.141385383444,146.84419795889846,0.0,0.0,0.0,0.0
2022-10-21 02:10:00+00:00,0.0,17.316755294799805,88490.0703125,0.0,0.0,0.0,33.22782516479492,59.62064232538853,145.9282281245421,0.0,0.0,0.0,0.0
2022-10-21 02:15:00+00:00,0.0,17.21333885192871,88488.7265625,0.0,0.0,0.0,33.609039306640625,61.037560802979215,144.99855266372498,0.0,0.0,0.0,0.0
2022-10-21 02:20:00+00:00,0.0,17.109378814697266,88487.34375,0.0,0.0,0.0,34.0305061340332,62.3962972183175,144.05629931060875,0.0,0.0,0.0,0.0
2022-10-21 02:25:00+00:00,0.0,17.008331298828125,88485.84375,0.0,0.0,0.0,34.476806640625,63.70075996043676,143.10249745628394,0.0,0.0,0.0,0.0
